Step,Actual_Displacement,Predicted_Displacement,Residual
270,1.603,0.9342999363435435,0.6687000636564565
271,0.979,0.9363000324470777,0.04269996755292227
272,1.216,0.9383001280712935,0.2776998719287065
273,1.332,0.9403002232185815,0.39169977678141854
274,1.237,0.9423003178913205,0.2946996821086796
275,0.955,0.9443004120918772,0.010699587908122754
276,1.782,0.9463005058226066,0.8356994941773934
277,1.083,0.9483005990858521,0.1346994009141479
278,1.151,0.9503006918839452,0.20069930811605485
279,0.896,0.9523007842192057,-0.0563007842192057
280,1.038,0.9543008760939424,0.0836991239060576
281,1.386,0.9563009675104519,0.429699032489548
282,1.181,0.9583010584710198,0.2226989415289803
283,1.147,0.9603011489779197,0.18669885102208028
284,1.417,0.9623012390334148,0.45469876096658524
285,1.085,0.964301328639756,0.12069867136024393
286,1.173,0.9663014177991839,0.20669858220081616
287,1.389,0.9683015065139272,0.4206984934860728
288,1.28,0.9703015947862039,0.3096984052137961
289,1.343,0.9723016826182208,0.37069831738177916
290,1.255,0.9743017700121737,0.28069822998782623
291,1.577,0.9772208042112652,0.5997791957887347
292,1.184,0.979228088759472,0.20477191124052796
293,1.069,0.9812356751464429,0.08776432485355701
294,0.706,0.9832435781265242,-0.2772435781265242
295,0.898,0.9852518133203235,-0.0872518133203235
296,1.283,0.9872603972758048,0.2957396027241951
297,1.266,0.9892693475344211,0.27673065246557893
298,1.155,0.9912786827027597,0.16372131729724038
299,1.323,0.993288422530221,0.32971157746977897
300,1.289,0.9952985879933106,0.2937014120066893
301,1.299,0.9973092013871814,0.30169079861281856
302,1.041,0.9993202864251375,0.04167971357486244
303,1.195,1.0013318683468835,0.19366813165311658
304,1.25,1.0033439740363947,0.24665602596360525
305,1.168,1.005356632150374,0.16264336784962596
306,1.033,1.0073698732583776,0.02563012674162235
307,1.133,1.0093837299958117,0.12361627000418829
308,1.268,1.011398237231135,0.25660176276886504
309,1.294,1.0134134322487682,0.2805865677512318
310,1.43,1.015429354949375,0.414570645050625
311,1.385,1.017446048069388,0.3675539519306119
312,1.079,1.0194635574218671,0.05953644257813284
313,1.036,1.0214819321610393,0.014518067838960702
314,1.083,1.0235012250731512,0.05949877492684874
315,1.365,1.025521492896592,0.3394785071034081
316,1.1,1.0275427966746191,0.07245720332538097
317,1.269,1.029565202144433,0.23943479785556687
318,0.913,1.0315887801668344,-0.11858878016683438
319,1.463,1.0336136072012396,0.42938639279876045
320,1.173,1.0356397658314629,0.13736023416853715
321,1.517,1.0376673453483767,0.4793326546516232
322,1.065,1.0396964423964001,0.025303557603599813
323,1.422,1.0417271616916874,0.3802728383083125
324,1.559,1.0437596168209835,0.5152403831790164
325,1.148,1.0457939311313496,0.10220606886865036
326,1.409,1.0478302387224,0.3611697612775999
327,1.344,1.0498686855543444,0.29413131444565566
328,1.249,1.0519094306870418,0.19709056931295832
329,1.255,1.053952647667493,0.20104735233250692
330,1.112,1.055998526085762,0.05600147391423804
331,1.21,1.0580472733223092,0.15195272667769077
332,1.338,1.0606242292223393,0.27737577077766074
333,1.125,1.0626835306292386,0.06231646937076141
334,1.116,1.06474662339312,0.05125337660688012
335,1.205,1.0668138168032564,0.1381861831967437
336,1.256,1.0688854511250379,0.18711454887496215
337,1.146,1.0709619012546228,0.07503809874537715
338,1.26,1.0730435808668495,0.18695641913315053
339,1.545,1.0751309471311035,0.46986905286889646
340,1.431,1.077224506082348,0.35377549391765206
341,1.244,1.079324818749331,0.16467518125066904
342,1.435,1.0813309036641727,0.3536690963358273
343,1.266,1.0833372579895792,0.18266274201042076
344,1.334,1.0853438961487403,0.2486561038512598
345,1.278,1.0873508335044249,0.19064916649557517
346,1.437,1.0893580864323869,0.3476419135676132
